,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
54,cloud_type3,"Genus of cloud, third cloud layer","Cloud type or genus of cloud for the lowest cloud layer, genus from WMO code table 0500. 3 refers to the layer with height cloud_base_height3 (HS3). Additional information for cloud_area_fraction3 (NS3)",code,METNO-name,{'baseName': 'cloud_type3'},Clouds,"{'elementCodes': ['CC3'], 'unit': 'code'}",,{'values': ['PT0H']},,cloud_type
55,cloud_type4,"Genus of cloud, forth cloud layer","Cloud type or genus of cloud for the lowest cloud layer, genus from WMO code table 0500. 4 refers to the layer with height cloud_base_height4 (HS4). Additional information for cloud_area_fraction4 (NS4)",code,METNO-name,{'baseName': 'cloud_type4'},Clouds,"{'elementCodes': ['CC4'], 'unit': 'code'}",,{'values': ['PT0H']},,cloud_type
56,cloud_type_icao1,"Significant cloud type 1, METAR","Additional cloud information for group HS1/NS1, tells if CB (cumulonimbus) or TCU (towering cumulus) are present. 1 refers to cloud_base_height1.",code,METNO-name,{'baseName': 'cloud_type_icao1'},Clouds,"{'elementCodes': ['CC1_M'], 'unit': 'code'}",,{'values': ['PT20M']},,metar_cloud_type
57,cloud_type_icao2,"Significant cloud type 2, METAR","Additional cloud information for group HS2/NS2, tells if CB (cumulonimbus) or TCU (towering cumulus) are present. 2 refers to cloud_base_height2.",code,METNO-name,{'baseName': 'cloud_type_icao2'},Clouds,"{'elementCodes': ['CC2_M'], 'unit': 'code'}",,{'values': ['PT20M']},,metar_cloud_type
58,cloud_type_icao3,"Significant cloud type 3, METAR","Additional cloud information for group HS3/NS3, tells if CB (cumulonimbus) or TCU (towering cumulus) are present. 3 refers to cloud_base_height3.",code,METNO-name,{'baseName': 'cloud_type_icao3'},Clouds,"{'elementCodes': ['CC3_M'], 'unit': 'code'}",,{'values': ['PT20M']},,metar_cloud_type
59,cloud_type_icao4,"Significant cloud type 4, METAR","Additional cloud information for group HS1/NS1, tells if CB (cumulonimbus) or TCU (towering cumulus) are present. 4 refers to cloud_base_height4.",code,METNO-name,{'baseName': 'cloud_type_icao4'},Clouds,"{'elementCodes': ['CC4_M'], 'unit': 'code'}",,{'values': ['PT20M']},,metar_cloud_type
60,day_of_year_for_birch_leafing,Birch leafing,"The day of year of birch leafing. Birch leafing is reported by using the BBCH-scale, a scale describing the phenological development stage of the plant.",1,METNO-name,{'baseName': 'day_of_year_for_birch_leafing'},Frequency,"{'elementCodes': ['DAGNUMMER'], 'unit': '1'}",,,,
61,dew_point_height_estimated,Dew point height,"Dew point height, estimated",meters,METNO-name,{'baseName': 'dew_point_height_estimated'},Clouds,"{'elementCodes': ['HTD'], 'unit': 'meters'}",,,,
62,dew_point_temperature,Dew point temperature,"Dew-point temperature - the temperature at which the air, when cooled, will become saturated (and dew is formed)",degC,CF-name,{'baseName': 'dew_point_temperature'},Temperature,"{'elementCodes': ['TD', 'X1TD'], 'unit': 'degC'}","{'standardName': 'dew_point_temperature', 'unit': 'K', 'version': '44'}","{'values': ['PT0H', 'PT6H']}",,
63,direction_of_sea_ice_edge,True bearing of principal ice edge,True bearing of principal ice edge observed form a vessel. The element is a part of a WMO SHIP message,code,METNO-name,{'baseName': 'direction_of_sea_ice_edge'},Sea ice,"{'elementCodes': ['DI'], 'unit': 'code'}",,{'values': ['PT0H']},,direction_of_ice_edge
64,direction_of_visibility_in_air_operationally_significant,The operationally most significant direction of the horisontal visibility,"The operationally most significant direction of the horisontal visibility, from weather observations with aviation purposes (METAR).This elementID is connected to visibility_in_air_operationally_significant. Values from 1 to 8, where 1 is the sector towards northeast, 2 toward east, 3 toward southeast, 4 toward south, 5 toward southwest, 6 toward west, 7 toward northwest and 8 toward north.",code,METNO-name,{'baseName': 'direction_of_visibility_in_air_operationally_significant'},Visibility,"{'elementCodes': ['DVX', 'DV_VVD'], 'unit': 'code'}",,,,direction_of_the_sky
65,direction_of_visibility_in_air_predominant,The direction where the predominant or lowest horisontal visibility can be found.,"The direction where the predominant or lowest horisontal visibility can be found. From weather observations with aviation purposes (METAR). This elementID is connected to visibility_in_predominant. Values from 1 to 8, where 1 is the sector towards northeast, 2 toward east, 3 toward southeast, 4 toward south, 5 toward southwest, 6 toward west, 7 toward northwest and 8 toward north.",code,METNO-name,{'baseName': 'direction_of_visibility_in_air_predominant'},Visibility,"{'elementCodes': ['DV', 'DV_VV'], 'unit': 'code'}",,,,direction_of_the_sky
66,flourescence_of_chlorophyl_a_in_sea_water,Flourescence from clorophyl in sea water,"Flourescence from chlorophyl in sea water. Flourescence is re-emmitance of electromagnetic radiation that a material has absorbed. Generally, sunlight will be absorbed, and more long waved radiation will be re-emmitted. Both water-microscopic algae and colored dissoved organic matter in sea water have flourescence properties, and my measuring the flourecence the amount of these in the sea water can be estimated.",micro-g/L,METNO-name,{'baseName': 'flourescence_of_chlorophyl_a_in_sea_water'},Maritime biology,"{'elementCodes': ['FSW'], 'unit': 'micro-g/L'}",,{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
67,flourescense_of_dissolved_organic_carbon_in_sea_water,Flourescence from dissolved organic carbon in sea water,"Flourescence from dissoved organic carbon in sea water. Flourescence is re-emmitance of electromagnetic radiation that a material has absorbed. Generally, sunlight will be absorbed, and more long waved radiation will be re-emmitted. Both water-microscopic algae and colored dissoved organic matter in sea water have flourescence properties, and my measuring the flourecence the amount of these in the sea water can be estimated.",ppb,METNO-name,{'baseName': 'flourescense_of_dissolved_organic_carbon_in_sea_water'},Maritime biology,"{'elementCodes': ['FSW_CDOM'], 'unit': 'ppb'}",,{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
68,flow_rate,Flow rate at inlet,The flow rate of the sea water thorugh the inlet of the measurement system,l/min,METNO-name,{'baseName': 'flow_rate'},Maritime biology,"{'elementCodes': ['FR'], 'unit': 'l/min'}",,{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
69,fractional_saturation_of_oxygen_in_sea_water,Dissolved oxygen in sea water,Measured percentage of oxygen dissoved in sea water. Fractional saturation is the ratio of some measure of concentration to the saturated value of the same quantity.,percent,CF-name,{'baseName': 'fractional_saturation_of_oxygen_in_sea_water'},Maritime biology,"{'elementCodes': ['OSW'], 'unit': 'percent'}","{'standardName': 'fractional_saturation_of_oxygen_in_sea_water', 'cellMethod': '-', 'unit': 'percent', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
70,fresh_water_temperature,Fresh water temperature,"Fresh water temperature. Fresh water includes rivers, brooks and lakes.",degC,METNO-name,{'baseName': 'fresh_water_temperature'},Temperature,"{'elementCodes': ['TWF'], 'unit': 'degC'}",,{'values': ['PT0H']},,
71,grass_temperature,Grass temperature,Grass temperature is measured 10 cm above ground and gives a good indication of ground frost,degC,METNO-name,{'baseName': 'grass_temperature'},Temperature,"{'elementCodes': ['TG', 'X1TG', 'X2TG', 'X3TG'], 'unit': 'degC'}",,,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 0.1, 'values': [0.1]}",
72,high_type_cloud,Type of high clouds,"Cloud type, high clouds (base above approx 6000 meter), by code 0 - 9 (Ci, Cs, Cc, ref cloud atlas).",code,METNO-name,{'baseName': 'high_type_cloud'},Clouds,"{'elementCodes': ['CH'], 'unit': 'code'}",,,,
73,ice_of_land_origin_type,Number of icebergs,"Number of icebergs (navigation hazard). WMO code 0439: 0-9, where 0=no icebergs, 9=more than 20 icebergs and a major hazard to navigation",code,METNO-name,{'baseName': 'ice_of_land_origin_type'},Sea ice,"{'elementCodes': ['BI'], 'unit': 'code'}",,,,
74,icing_rate_type_on_ship,Ice accretion rate,"Rate of ice accretion on ships. WMO code 3551: 0=no change, 1=ice building up slowly, 2=ice building up rapidly, 3=ice melting or breaking up slowly, 4=ice melting or breaking up rapidly",code,METNO-name,{'baseName': 'icing_rate_type_on_ship'},Icing,"{'elementCodes': ['RS'], 'unit': 'code'}",,,,
75,icing_thickness,Ice accretion,Ice thickness on ship or platform,cm,METNO-name,{'baseName': 'icing_thickness'},Icing,"{'elementCodes': ['ES'], 'unit': 'cm'}",,,,
76,icing_type_on_ship,Cause of ice accretion,"Cause of ice accretion on ships. WMO code 1751: 1=icing from ocean spray, 2=fog, 3=spray and fog, 4=rain, 5=spray and rain.",code,METNO-name,{'baseName': 'icing_type_on_ship'},Icing,"{'elementCodes': ['IZ'], 'unit': 'code'}",,,,ice_accretion
77,indicator_station_type_weather,Indicator for type of station and type of weather information (SYNOP),Indicator for type of station operation (manned or automatic) for the station generating the SYNOP message. Also includes information about whether present and past weather data is included in the message and which codetables have been used for past and present weather. Uses the WMO code table 1860,code,METNO-name,{'baseName': 'indicator_station_type_weather'},Metadata,"{'elementCodes': ['IX'], 'unit': 'code'}",,{'values': ['PT0H']},,indicator_station_type_weather
78,integral_of_deficit(mean(air_temperature P1D) P1D 17.0),"Heating degree days, 17 ºC (24 h)","Daily sum of heating degree days. A heating degree day (HDD) is a proxy for the energy demand needed for indoor heating. HDD is defined as how many degrees below 17 ºC the hourly mean temperature is. If the hourly mean temperature is 17 ºC or above, the  HDD is defined as zero.",K,CF-name,"{'baseName': 'air_temperature', 'method': 'integral_of_deficit', 'innerMethod': 'mean', 'period': 'P1D', 'innerPeriod': 'P1D', 'addition': '17.0', 'methodDescription': 'Accumulated deviation below a threshold over time. Temperature deficit is defined as the sum over days, of temperature threshold minus the daily mean air temperatures, taking only into account the temperatures below the threshold. This metric is often named after a specification and ""degree-days"", e.g. heating degree-days.', 'innerMethodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['GD17'], 'unit': 'degree-day'}","{'standardName': ' integral_of_air_temperature_deficit_wrt_time', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
79,integral_of_deficit(mean(air_temperature P1D) P1M 17.0),"Heating degree days, 17 ºC (month)","Monthly sum of heating degree days. A heating degree day (HDD) is a proxy for the energy demand needed for indoor heating. HDD is defined as how many degrees below 17 ºC the daily mean temperature is. If the daily mean temperature is 17 ºC or above, the  HDD is defined as zero.",degree-day,CF-name,"{'baseName': 'air_temperature', 'method': 'integral_of_deficit', 'innerMethod': 'mean', 'period': 'P1M', 'innerPeriod': 'P1D', 'addition': '17.0', 'methodDescription': 'Accumulated deviation below a threshold over time. Temperature deficit is defined as the sum over days, of temperature threshold minus the daily mean air temperatures, taking only into account the temperatures below the threshold. This metric is often named after a specification and ""degree-days"", e.g. heating degree-days.', 'innerMethodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['GD17'], 'unit': 'degree-day'}","{'standardName': 'integral_of_air_temperature_deficit_wrt_time', 'unit': 'K', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
80,integral_of_deficit(mean(air_temperature P1D) P1Y 17.0),"Heating degree days, 17 ºC (year)","Annual sum of heating degree days. A heating degree day (HDD) is a proxy for the energy demand needed for indoor heating. HDD is defined as how many degrees below 17 ºC the daily mean temperature is. If the daily mean temperature is 17 ºC or above, the  HDD is defined as zero.",degree-day,CF-name,"{'baseName': 'air_temperature', 'method': 'integral_of_deficit', 'innerMethod': 'mean', 'period': 'P1Y', 'innerPeriod': 'P1D', 'addition': '17.0', 'methodDescription': 'Accumulated deviation below a threshold over time. Temperature deficit is defined as the sum over days, of temperature threshold minus the daily mean air temperatures, taking only into account the temperatures below the threshold. This metric is often named after a specification and ""degree-days"", e.g. heating degree-days.', 'innerMethodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['GD17'], 'unit': 'degree-day'}","{'standardName': 'integral_of_air_temperature_deficit_wrt_time', 'unit': 'K', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
81,integral_of_deficit(mean(air_temperature P1D) P3M 17.0),"Heating degree days, 17 ºC (season)","Seasonal sum of heating degree days. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). A heating degree day (HDD) is a proxy for the energy demand needed for indoor heating. HDD is defined as how many degrees below 17 ºC the daily mean temperature is. If the daily mean temperature is 17 ºC or above, the  HDD is defined as zero.",degree-day,CF-name,"{'baseName': 'air_temperature', 'method': 'integral_of_deficit', 'innerMethod': 'mean', 'period': 'P3M', 'innerPeriod': 'P1D', 'addition': '17.0', 'methodDescription': 'Accumulated deviation below a threshold over time. Temperature deficit is defined as the sum over days, of temperature threshold minus the daily mean air temperatures, taking only into account the temperatures below the threshold. This metric is often named after a specification and ""degree-days"", e.g. heating degree-days.', 'innerMethodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['GD17'], 'unit': 'degree-day'}","{'standardName': 'integral_of_air_temperature_deficit_wrt_time', 'unit': 'K', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
82,integral_of_deficit(mean(air_temperature P1D) P6M 17.0),"Heating degree days, 17 ºC (winter or summer half-year)","Sum of heating degree days for winter (October-March) or summer (April-September). A heating degree day (HDD) is a proxy for the energy demand needed for indoor heating. HDD is defined as how many degrees below 17 ºC the daily mean temperature is. If the daily mean temperature is 17 ºC or above, the  HDD is defined as zero.",degree-day,CF-name,"{'baseName': 'air_temperature', 'method': 'integral_of_deficit', 'innerMethod': 'mean', 'period': 'P6M', 'innerPeriod': 'P1D', 'addition': '17.0', 'methodDescription': 'Accumulated deviation below a threshold over time. Temperature deficit is defined as the sum over days, of temperature threshold minus the daily mean air temperatures, taking only into account the temperatures below the threshold. This metric is often named after a specification and ""degree-days"", e.g. heating degree-days.', 'innerMethodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['GD17'], 'unit': 'degree-day'}","{'standardName': 'integral_of_air_temperature_deficit_wrt_time', 'unit': 'K', 'version': '44'}",{'values': ['PT6H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
